"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","379","userCannotUpdateNameTest(String) [3] newName=Maria Anna Soul","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","932","userCannotDepositMoneyIntoHisAccountTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.DepositTest","ui.iteration2.DepositTest","userCannotDepositMoneyIntoHisAccountTest"
"","388","userCannotUpdateNameTest(String) [1] newName=","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","1771","userCanTransferMoneyBetweenHisAccountTest()","","2026-09-10","passed","2026-09-10","","ui.iteration2.TransferTest","ui.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","868","userCanTransferMoneyBetweenHisAccountTest(double) [3] amount=10000.0","","2026-09-10","passed","2026-09-10","","api.iteration2.TransferTest","api.iteration2.TransferTest","userCanTransferMoneyBetweenHisAccountTest"
"","0","buttonSendTransferDisabledIfAmountIsNotFilledTest()","","2026-09-10","skipped","2026-09-10","","ui.iteration2.TransferAgainTest","ui.iteration2.TransferAgainTest","buttonSendTransferDisabledIfAmountIsNotFilledTest"
"","0","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredWithFraudCheckTest()","","2026-09-10","skipped","2026-09-10","","mock.TransferWithFraudCheckTest","mock.TransferWithFraudCheckTest","userCannotTransferMoneyFromAccountThatIsLessThanAmountBeingTransferredWithFraudCheckTest"
"","403","userCannotUpdateNameTest(String) [2] newName=John","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","380","userCannotUpdateNameTest(String) [5] newName=1 Rich","","2026-09-10","passed","2026-09-10","","api.iteration2.UpdateNameTest","api.iteration2.UpdateNameTest","userCannotUpdateNameTest"
"","108","adminCanNotCreateUserWithInvalidData(String, String, String, List) [2] username=ab, password=Password1!, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","2026-09-10","passed","2026-09-10","","api.iteration1.CreateUserTest","api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData"
